id,date,label,value
153,2010-12-16,BTC / USD,0.2500
154,2010-12-17,BTC / USD,0.2400
155,2010-12-18,BTC / USD,0.2410
156,2010-12-19,BTC / USD,0.2401
157,2010-12-20,BTC / USD,0.2670
158,2010-12-21,BTC / USD,0.2400
159,2010-12-22,BTC / USD,0.2500
160,2010-12-23,BTC / USD,0.2488
161,2010-12-24,BTC / USD,0.2480
162,2010-12-25,BTC / USD,0.2499
163,2010-12-26,BTC / USD,0.2650
164,2010-12-27,BTC / USD,0.2650
165,2010-12-28,BTC / USD,0.2810
166,2010-12-29,BTC / USD,0.2998
167,2010-12-30,BTC / USD,0.3000
168,2010-12-31,BTC / USD,0.3000
169,2011-01-01,BTC / USD,0.3000
170,2011-01-02,BTC / USD,0.3000
171,2011-01-03,BTC / USD,0.2950
172,2011-01-04,BTC / USD,0.2990
173,2011-01-05,BTC / USD,0.2989
174,2011-01-06,BTC / USD,0.2980
175,2011-01-07,BTC / USD,0.3200
176,2011-01-08,BTC / USD,0.3229
177,2011-01-09,BTC / USD,0.3230
178,2011-01-10,BTC / USD,0.3266
179,2011-01-11,BTC / USD,0.3266
180,2011-01-12,BTC / USD,0.3188
181,2011-01-13,BTC / USD,0.3176
182,2011-01-14,BTC / USD,0.4000
183,2011-01-15,BTC / USD,0.3860
184,2011-01-16,BTC / USD,0.3868
185,2011-01-17,BTC / USD,0.3495
186,2011-01-18,BTC / USD,0.3130
187,2011-01-19,BTC / USD,0.3130
188,2011-01-20,BTC / USD,0.3900
189,2011-01-21,BTC / USD,0.4199
190,2011-01-22,BTC / USD,0.4440
191,2011-01-23,BTC / USD,0.4424
192,2011-01-24,BTC / USD,0.4199
193,2011-01-25,BTC / USD,0.4100
194,2011-01-26,BTC / USD,0.4137
195,2011-01-27,BTC / USD,0.4212
196,2011-01-28,BTC / USD,0.4460
197,2011-01-29,BTC / USD,0.4390
198,2011-01-30,BTC / USD,0.4798
199,2011-01-31,BTC / USD,0.5501
200,2011-02-01,BTC / USD,0.7077
201,2011-02-02,BTC / USD,0.7160
202,2011-02-03,BTC / USD,0.6964
203,2011-02-04,BTC / USD,0.8110
204,2011-02-05,BTC / USD,0.9074
205,2011-02-06,BTC / USD,0.8968
206,2011-02-07,BTC / USD,0.8900
207,2011-02-08,BTC / USD,0.9180
208,2011-02-09,BTC / USD,1.0845
209,2011-02-10,BTC / USD,0.9752
210,2011-02-11,BTC / USD,1.0700
211,2011-02-12,BTC / USD,1.0799
212,2011-02-13,BTC / USD,1.0500
213,2011-02-14,BTC / USD,1.0753
214,2011-02-15,BTC / USD,1.0500
215,2011-02-16,BTC / USD,1.0286
216,2011-02-17,BTC / USD,1.0400
217,2011-02-18,BTC / USD,0.8989
218,2011-02-19,BTC / USD,0.9490
219,2011-02-20,BTC / USD,0.8500
220,2011-02-21,BTC / USD,0.8345
221,2011-02-22,BTC / USD,0.8702
222,2011-02-23,BTC / USD,0.9000
