id,date,value,open,high,low
1,1987-09-01,111.69999694824,170.82000732422,172.61999511719,105.45999908447
2,1987-12-01,136.10000610352,111.69000244141,137.69000244141,106.16000366211
3,1988-03-01,141.36999511719,136.10000610352,145.5299987793,136.07000732422
4,1988-06-01,145.74000549316,141.36999511719,151.69999694824,141.36999511719
5,1988-09-01,142.00999450684,145.74000549316,149.19000244141,139.49000549316
6,1988-12-01,154.55999755859,142.02000427246,157.27000427246,141.92999267578
7,1989-03-01,171.5299987793,154.55999755859,171.5299987793,154.55999755859
8,1989-06-01,178.19999694824,171.5299987793,178.19999694824,166.11000061035
9,1989-09-01,168.16999816895,178.21000671387,180.94999694824,165.27000427246
10,1989-12-01,157.7200012207,168.19000244141,170.80000305176,152.44000244141
11,1990-03-01,168.91000366211,157.71000671387,169.11000061035,157.38999938965
12,1990-06-01,139.50999450684,168.91000366211,171.08000183105,132.74000549316
13,1990-09-01,127.51000213623,139.5,141.02000427246,118.44999694824
14,1990-12-01,160,127.5,160.00999450684,124.51999664307
15,1991-03-01,178.33999633789,160,178.78999328613,159.32000732422
16,1991-06-01,179.11000061035,178.33000183105,179.11000061035,166.17999267578
17,1991-09-01,176.36999511719,179.08999633789,188.33999633789,174.88999938965
18,1991-12-01,211.14999389648,176.36999511719,213,174.42999267578
19,1992-03-01,198.52000427246,211.16999816895,212.25999450684,190.85000610352
20,1992-06-01,188.78999328613,198.52000427246,200.21000671387,185.32000732422
21,1992-09-01,213.80999755859,188.82000732422,213.80999755859,183.39999389648
22,1992-12-01,222.41000366211,213.80999755859,232.44999694824,212.55999755859
23,1993-03-01,232.19000244141,222.41000366211,232.92999267578,218.39999389648
24,1993-06-01,246.16999816895,232.19000244141,246.16999816895,226.52000427246
25,1993-09-01,250.41000366211,246.19000244141,260.41000366211,242.14999389648
26,1993-12-01,265.5299987793,250.41000366211,267.75,249.33000183105
27,1994-03-01,249.2799987793,265.5299987793,271.07998657227,241.94999694824
28,1994-06-01,257.32000732422,249.2799987793,257.32000732422,238.2200012207
29,1994-09-01,244.25,257.32000732422,260.29000854492,238.89999389648
30,1994-12-01,256.57000732422,244.25,257.5,233.88999938965
31,1995-03-01,270.25,256.57000732422,273.85000610352,253.69000244141
32,1995-06-01,305.30999755859,270.25,305.51000976562,270.23001098633
33,1995-09-01,308.57998657227,305.30999755859,316.98001098633,291.26000976562
34,1995-12-01,324.92999267578,308.57998657227,326.45001220703,299.45001220703
35,1996-03-01,361.85000610352,324.92999267578,364.95999145508,318.32998657227
36,1996-06-01,333.88000488281,361.85000610352,364.33999633789,303.04000854492
