id,date,value,open,high,low
1,1985-10-01,132.29499816895,110.62000274658,133.18499755859,106.75
2,1986-01-01,148.86000061035,132.29499816895,149.20500183105,128.05499267578
3,1986-04-01,162.61500549316,148.86000061035,163.97999572754,144.83000183105
4,1986-07-01,137.49499511719,162.61500549316,164.55999755859,133.2799987793
5,1986-10-01,141.4049987793,137.52000427246,150.85000610352,137.4049987793
6,1987-01-01,186.03999328613,141.4049987793,191.74499511719,141.4049987793
7,1987-04-01,189.24000549316,186.03999328613,193.36000061035,177.50999450684
8,1987-07-01,205.50500488281,189.24000549316,212.16499328613,186.56500244141
9,1987-10-01,156.25,205.50500488281,214.0299987793,126.25
10,1988-01-01,173.25999450684,156.25,182.73500061035,151.57000732422
11,1988-04-01,189.02499389648,173.25999450684,189.3450012207,166.76499938965
12,1988-07-01,179.36500549316,189.22999572754,192.77000427246,167.16999816895
13,1988-10-01,177.41000366211,179.28999328613,180.52499389648,162.6549987793
14,1989-01-01,185.86999511719,177.39999389648,192.99499511719,172.94500732422
15,1989-04-01,204.58500671387,185.86999511719,220.80999755859,184.44999694824
16,1989-07-01,226.38999938965,204.58500671387,227.63499450684,203.61000061035
17,1989-10-01,223.83500671387,226.41499328613,238.8450012207,208.68499755859
18,1990-01-01,213.14500427246,223.83500671387,228.94000244141,196.68499755859
19,1990-04-01,238.46000671387,213.14500427246,242.8450012207,202.9700012207
20,1990-07-01,177.05499267578,238.46000671387,246.81500244141,169.32499694824
21,1990-10-01,200.5299987793,177.05499267578,203.48500061035,162.55000305176
22,1991-01-01,264.9049987793,200.5299987793,267.92999267578,190.89500427246
23,1991-04-01,254.19500732422,264.9049987793,286.04998779297,249.78500366211
24,1991-07-01,287.53500366211,254.19500732422,290.91500854492,249.99499511719
25,1991-10-01,330.85501098633,287.53500366211,332.57998657227,276.51000976562
26,1992-01-01,323.04998779297,330.85501098633,357.70001220703,320.1549987793
27,1992-04-01,301.23001098633,323.04998779297,326.79000854492,288.01000976562
28,1992-07-01,313.18499755859,301.23001098633,324.69000244141,287.63500976562
29,1992-10-01,360.18499755859,313.18499755859,363.20498657227,291.96499633789
30,1993-01-01,359.42001342773,360.18499755859,384.67498779297,337.14498901367
31,1993-04-01,366.125,359.42001342773,376.5299987793,326.55999755859
32,1993-07-01,382.71499633789,366.125,388.32998657227,346.51501464844
33,1993-10-01,398.2799987793,382.71499633789,401.80999755859,371.82501220703
34,1994-01-01,382.95999145508,398.26000976562,418.98999023438,372.32000732422
35,1994-04-01,360.29998779297,382.95999145508,391.94000244141,350.0299987793
36,1994-07-01,393.85000610352,360.29998779297,407.10000610352,352.73999023438
37,1994-10-01,404.26998901367,393.85000610352,417.54998779297,376.79998779297
38,1995-01-01,447.14999389648,404.26998901367,462.98999023438,394.58999633789
39,1995-04-01,538.03002929688,447.14999389648,546.57000732422,438.38000488281
40,1995-07-01,585.08001708984,538.03002929688,613.78002929688,530.40002441406
41,1995-10-01,576.22998046875,585.08001708984,623.53002929688,527.89001464844
42,1996-01-01,609.69000244141,576.22998046875,647.34002685547,526.79998779297
43,1996-04-01,677.29998779297,609.69000244141,704.09002685547,597.41998291016
44,1996-07-01,737.57000732422,677.40002441406,757.83001708984,572.78997802734
45,1996-10-01,821.35998535156,737.58001708984,873,727.14001464844
46,1997-01-01,797.05999755859,821.35998535156,938.10998535156,784.53997802734
47,1997-04-01,957.29998779297,797.05999755859,993.15997314453,779.16998291016
48,1997-07-01,1097.1600341797,957.29998779297,1151.8199462891,947.78002929688
49,1997-10-01,990.83001708984,1097.1700439453,1153.8900146484,925.91998291016
50,1998-01-01,1220.6600341797,990.79998779297,1230.9200439453,933.01000976562
51,1998-04-01,1337.3399658203,1220.6600341797,1347.4399414062,1157.8800048828
52,1998-07-01,1345.4799804688,1337.3399658203,1485.9699707031,1118.1199951172
53,1998-10-01,1836.0100097656,1345.4799804688,1848.3599853516,1063.2700195312
54,1999-01-01,2106.3898925781,1836.0100097656,2168.6899414062,1833.4300537109
55,1999-04-01,2296.7700195312,2106.3898925781,2320.4299316406,1952.3599853516
56,1999-07-01,2407.8999023438,2296.7700195312,2551.6599121094,2120.2600097656
57,1999-10-01,3707.830078125,2407.6999511719,3750.4099121094,2299.9499511719
58,2000-01-01,4397.83984375,3755.7399902344,4816.3500976562,3314.75
59,2000-04-01,3763.7900390625,4355.7001953125,4355.7001953125,2897.2700195312
60,2000-07-01,3570.6101074219,3763.7900390625,4147.1899414062,3341.830078125
61,2000-10-01,2341.6999511719,3613.7399902344,3613.8601074219,2174.7600097656
62,2001-01-01,1573.25,2341.2800292969,2771.6298828125,1530.1400146484
63,2001-04-01,1830.1899414062,1569.6600341797,2073.9799804688,1348.5200195312
64,2001-07-01,1168.3699951172,1831.4200439453,1864.1999511719,1088.9599609375
65,2001-10-01,1577.0500488281,1161.7399902344,1734.5799560547,1131.3199462891
66,2002-01-01,1452.8100585938,1590.7099609375,1710.2299804688,1329.9300537109
67,2002-04-01,1051.4100341797,1440.3800048828,1481.7399902344,979.86999511719
68,2002-07-01,832.52001953125,1044.4799804688,1066.2800292969,825.79998779297
69,2002-10-01,984.36999511719,841.28997802734,1155.6800537109,795.25
70,2003-01-01,1018.6599731445,995.64001464844,1104.3199462891,938.52001953125
71,2003-04-01,1201.6899414062,1025.0200195312,1265.6899414062,1015.4600219727
72,2003-07-01,1303.6999511719,1195.3000488281,1406.6099853516,1180.1099853516
73,2003-10-01,1467.9200439453,1312.4300537109,1474.2399902344,1306.3299560547
74,2004-01-01,1438.4100341797,1474.1600341797,1559.4699707031,1368.0799560547
75,2004-04-01,1516.6400146484,1438.9100341797,1523.4799804688,1372.4599609375
76,2004-07-01,1412.7399902344,1514.8199462891,1514.8199462891,1301.9300537109
77,2004-10-01,1621.1199951172,1426.3800048828,1635.6999511719,1416.2900390625
78,2005-01-01,1482.5300292969,1628.75,1635.4499511719,1458.2600097656
79,2005-04-01,1493.5200195312,1491.8299560547,1568.9599609375,1394.3599853516
80,2005-07-01,1601.6600341797,1497.0200195312,1628.5699462891,1484.1800537109
81,2005-10-01,1645.1999511719,1603.4699707031,1716.6500244141,1515.4200439453
82,2006-01-01,1703.6600341797,1654.3900146484,1761.4599609375,1633.6199951172
83,2006-04-01,1575.2299804688,1715.1199951172,1750.2299804688,1511.5300292969
84,2006-07-01,1654.1300048828,1580.6300048828,1666.0300292969,1446.7700195312
85,2006-10-01,1756.9000244141,1650.3199462891,1824.2099609375,1623.0699462891
86,2007-01-01,1772.3599853516,1769.2199707031,1851.4699707031,1710.9699707031
87,2007-04-01,1934.0999755859,1775.9200439453,1948.5799560547,1761.6500244141
88,2007-07-01,2091.1101074219,1943.2800292969,2101.9599609375,1805.6600341797
89,2007-10-01,2084.9299316406,2092.6000976562,2239.2299804688,1980.1800537109
90,2008-01-01,1781.9300537109,2085.5300292969,2094.2199707031,1668.5699462891
91,2008-04-01,1837.0899658203,1806.1500244141,2055.8200683594,1776.5999755859
92,2008-07-01,1594.6300048828,1821.9300537109,1973.5600585938,1496.1500244141
93,2008-10-01,1211.6500244141,1581.0600585938,1584.2600097656,1018.8599853516
94,2009-01-01,1237.0100097656,1212.7399902344,1286.9000244141,1040.4100341797
95,2009-04-01,1477.25,1215.9000244141,1511.9399414062,1211.5999755859
96,2009-07-01,1718.9899902344,1486.5,1754.5400390625,1394.8699951172
97,2009-10-01,1860.3100585938,1710.5,1882.5799560547,1652.4399414062
98,2010-01-01,1958.3399658203,1882.6899414062,1976.3800048828,1712.8900146484
99,2010-04-01,1739.1400146484,1968.4399414062,2059.419921875,1734.9000244141
100,2010-07-01,1998.0400390625,1741.9300537109,2029.6500244141,1700.0400390625
101,2010-10-01,2217.8601074219,2014.4699707031,2238.919921875,1963.6800537109
102,2011-01-01,2338.9899902344,2238.6599121094,2403.5200195312,2188.919921875
103,2011-04-01,2325.0700683594,2352.4699707031,2417.830078125,2180.9399414062
104,2011-07-01,2139.1799316406,2326.1599121094,2438.4399414062,2034.9200439453
105,2011-10-01,2277.830078125,2128.0200195312,2412.5200195312,2042.9000244141
106,2012-01-01,2755.2700195312,2323.1599121094,2794,2307.5600585938
107,2012-04-01,2615.7199707031,2752.25,2795.3500976562,2443.919921875
108,2012-07-01,2799.1899414062,2616.5200195312,2878.3798828125,2522.8898925781
109,2012-10-01,2660.9299316406,2811.4499511719,2845.9699707031,2494.3798828125
110,2013-01-01,2818.6899414062,2727.669921875,2820.669921875,2689.830078125
111,2013-04-01,2909.6000976562,2819.7800292969,3053.5100097656,2730.9699707031
112,2013-07-01,3218.1999511719,2933.4799804688,3248.5200195312,2913.4799804688
113,2013-10-01,3592,3220.919921875,3592,3117.6899414062
114,2014-01-01,3595.7399902344,3575.6000976562,3738.3200683594,3418.8798828125
115,2014-04-01,3849.4799804688,3615.9099121094,3860.6499023438,3414.1101074219
116,2014-07-01,4049.4499511719,3864.1398925781,4118.91015625,3837.1599121094
117,2014-10-01,4236.2797851562,4043.330078125,4347.08984375,3700.2299804688
118,2015-01-01,4333.6899414062,4258.6000976562,4483.9702148438,4078.8500976562
119,2015-04-01,4396.759765625,4328.169921875,4562.330078125,4283.91015625
120,2015-07-01,4181.0600585938,4433.7900390625,4694.1298828125,3787.2299804688
121,2015-10-01,4593.2700195312,4185.2797851562,4739.75,4124.5498046875
122,2016-01-01,4483.66015625,4485.0600585938,4522.1201171875,3888.7800292969
123,2016-04-01,4417.7001953125,4461.7700195312,4574.3798828125,4179.740234375
124,2016-07-01,4875.7001953125,4411.7700195312,4895.5,4375.7202148438
125,2016-10-01,4863.6201171875,4864.6298828125,4992.080078125,4647.58984375
126,2017-01-01,5436.2299804688,4900.8500976562,5451.5,4884.5200195312
127,2017-04-01,5646.919921875,5440.2001953125,5897.6899414062,5353.58984375
128,2017-07-01,5979.2998046875,5680.3598632812,6012.9501953125,5579.6401367188
129,2017-10-01,6396.419921875,5988.9599609375,6522.7001953125,5955.830078125
130,2018-01-01,6581.1298828125,6431.58984375,7186.08984375,6164.4301757812
131,2018-04-01,7040.7998046875,6528.2299804688,7309.990234375,6322.6000976562
132,2018-07-01,7627.6499023438,6979.5400390625,7691.1000976562,6969.16015625
133,2018-10-01,6329.9702148438,7673,7700.5600585938,5895.1201171875
134,2019-01-01,7378.7700195312,6198.6801757812,7505.41015625,6139.3999023438
135,2019-04-01,7671.080078125,7450.8100585938,7851.9702148438,6936.6801757812
136,2019-07-01,7749.4501953125,7816.5600585938,8027.1801757812,7356.2700195312
137,2019-10-01,8733.0703125,7782.8198242188,8811.099609375,7463.5698242188
138,2020-01-01,7813.5,8802.2197265625,9736.5703125,6771.91015625
139,2020-04-01,10156.849609375,7582.7797851562,10306.900390625,7423.9702148438
140,2020-07-01,11418.059570312,10160.41015625,12439.48046875,10142.75
141,2020-10-01,12888.280273438,11554.959960938,12925.530273438,10957.110351562
142,2021-01-01,13091.440429688,12950.219726562,13879.76953125,12208.389648438
143,2021-04-01,14554.799804688,13268.879882812,14582.299804688,12967.1796875
144,2021-07-01,14689.620117188,14530.629882812,15701.400390625,14455.0703125
145,2021-10-01,16320.080078125,14731.379882812,16764.859375,14384.9296875
146,2022-01-01,14838.490234375,16395.509765625,16513.869140625,13020.400390625
147,2022-04-01,11503.719726562,14886.91015625,15161.889648438,11037.209960938
148,2022-07-01,10971.219726562,11472.629882812,13720.91015625,10966.950195312
149,2022-10-01,10939.759765625,11059.169921875,12166.41015625,10440.639648438
150,2023-01-01,13181.349609375,11038.419921875,13188.830078125,10696.419921875
151,2023-04-01,15179.209960938,13084.099609375,15284.650390625,12724.240234375
152,2023-07-01,14715.240234375,15190.540039062,15932.049804688,14432.599609375
153,2023-10-01,16825.9296875,14717.900390625,16969.169921875,14058.330078125
154,2024-01-01,18254.689453125,16667.30078125,18464.69921875,16249.190429688
155,2024-04-01,19682.869140625,18280.8203125,20017.7109375,16973.939453125
156,2024-07-01,20060.689453125,19720.109375,20690.970703125,17435.390625
157,2024-10-01,21012.169921875,20046.060546875,22133.220703125,19622.2890625
158,2025-01-01,19278.44921875,21120.05078125,22222.609375,18799.19921875
159,2025-04-01,22679.009765625,19192.76953125,22721.5,16542.19921875
160,2025-07-01,24679.990234375,22594.48046875,24781.73046875,22388.08984375
161,2025-10-01,25249.849609375,24539.25,26182.099609375,23854.029296875
162,2026-01-01,23740.189453125,25524.26953125,26165.080078125,22841.419921875
163,2026-04-01,28563.94921875,23883.2890625,28825.51953125,23512.599609375
164,2026-05-08,29234.994140625,28768.119140625,29234.994140625,28751.21484375
